TEAM,DATE,LOCATION,ORPG,DRPG,TRPG,APG,SPG,BPG,TPG,PFPG,FG_PCT,X2P_PCT,X3P_PCT,FT_PCT,PPP,PAPP,WIN,LOSS,WIN_PCT,SOS,CONFERENCE,RESULT,OUTCOME,PROB,ELO_DIFF
Air Force,1/27/2016,Away,-1.210526316,0,-1.210526316,-1.105263158,0,-2.473684211,-2.736842105,-2.684210526,-0.046190619,-0.044822115,-0.035939032,-0.050969633,-0.066075831,0.049829243,-2,2,-0.105263158,-0.023892353,Mountain West,Loss,Expected,0.010156241,-91.35132166
Air Force,12/5/2015,Away,3,4.571428571,7.571428571,0,0.428571429,0,-1,-1.857142857,-0.046097192,-0.071142766,-0.100205627,-0.050131329,-0.068044908,-0.001612581,0,0,0,0.177596372,Mountain West,Win,Upset,0.080348353,-9.650704901
Air Force,12/12/2015,Home,-1.888888889,-2.222222222,-4.111111111,-5.666666667,0.333333333,-1.666666667,-1.444444444,-2.444444444,-0.051298546,-0.039032422,-0.128037285,-0.003007045,-0.13888361,0.017388842,-1,1,-0.111111111,0.229976185,Mountain West,Loss,Expected,0.129002043,-68.67878857
Air Force,2/2/2016,Home,3.513457557,1.631469979,5.144927536,1.167701863,1.712215321,-1.15942029,1.211180124,0.935817805,-0.020149385,-0.052135945,-0.036300647,-0.051402306,-0.082398861,0.007384083,-2,0,-0.049689441,-0.143758688,Mountain West,Win,Upset,0.348085063,-51.06522358
Air Force,2/13/2016,Away,-2.49,-1.818333333,-4.308333333,3.241666667,0.89,-4.01,-0.625,1.473333333,0.000189132,-0.013004563,0.027278485,-0.013671708,-0.028406883,0.131578522,-7,6,-0.261666667,-0.137411044,Mountain West,Loss,Expected,0.256518302,-149.7406671
Air Force,11/16/2015,Home,-4,6,2,-11,-6,-5,1,-6,-0.144385027,-0.105069124,-0.251612903,0.077441077,-0.35148059,0.179164184,-1,1,-1,0.833333333,Mountain West,Win,Upset,0.961670241,-20.55854729
Air Force,11/22/2015,Home,2,4,6,1.333333333,-4.333333333,-1,-5,3.333333333,0.043338323,0.117738684,-0.134397678,0.037037037,0.172723417,-0.178754475,2,-2,0.666666667,-2.213752914,Mountain West,Win,Expected,0.011047504,41.69612375
Air Force,3/9/2016,Away,-2.7,-1.233333333,-3.933333333,-2.066666667,-1.933333333,-3.533333333,-1.1,-2.266666667,-0.014210498,-0.033688013,0.004008877,0.007199833,-0.059088607,0.077585879,-3,3,-0.1,-0.052328309,Mountain West,Loss,Expected,0.185133992,-107.6573009
Air Force,2/16/2016,Home,-2.88,-0.88,-3.76,-2.16,-1.96,-3.88,-1.16,-2.44,-0.025420456,-0.041053738,-0.013027797,0.005057314,-0.079947542,0.094078368,-3,3,-0.12,-0.078613043,Mountain West,Win,Upset,0.607475652,-112.062193
Air Force,1/16/2016,Away,-2.125,1.125,-1,-1.5,-1.6875,-3.625,-1.5,-2.375,-0.025363605,-0.041484372,-0.026496368,0.000501253,-0.069281707,0.074936325,0,0,0,-0.225325889,Mountain West,Loss,Expected,0.002541205,-65.24471414
Air Force,1/6/2016,Away,4.4,2.282051282,6.682051282,1.476923077,2.302564103,-0.943589744,0.723076923,1.415384615,-0.013486393,-0.039932419,-0.0554192,-0.053963431,-0.05345915,-0.05935091,2,-4,0.225641026,-0.048561847,Mountain West,Loss,Expected,0.004203172,31.9685659
Air Force,2/24/2016,Away,-3.703703704,0.222222222,-3.481481481,-0.37037037,-1.851851852,-2.148148148,1.555555556,-3.444444444,-0.006227142,0.004466696,-0.011326198,-0.007386744,-0.073632297,0.047941406,-5,5,-0.185185185,0.008407849,Mountain West,Loss,Expected,0.230940161,-95.00614341
Air Force,12/8/2015,Away,-0.75,-1.160714286,-1.910714286,3.75,1.625,-4.678571429,-2.142857143,-0.446428571,-0.047367282,-0.05474565,-0.081840568,0.052521008,-0.068580502,0.008143366,3,-2,0.321428571,-0.137195047,Mountain West,Loss,Expected,0.001230117,16.73953036
Air Force,2/20/2016,Home,-1.038461538,-0.384615385,-1.423076923,-1.923076923,0.153846154,-2.615384615,-2.192307692,-2.038461538,-0.053030817,-0.051476768,-0.041197696,-0.049727646,-0.090838474,0.049191168,-4,4,-0.153846154,-0.009938689,Mountain West,Win,Upset,0.560834049,-116.4242608
Air Force,11/19/2015,Home,-4.5,7,2.5,8.5,-5,0,-6.5,-4,0.25137931,0.361344538,0.03125,-0.042307692,0.448585231,-0.217851392,1,0,0.5,1.466666667,Mountain West,Win,Expected,0.004213998,24.33899437
