,Date,Away,Home,Probability,Prediciton
2722,1/9/2016,IUPUI,Western Illinois,42.90%,Upset
2723,1/9/2016,Jackson State,Alcorn State,0.80%,Expected
2724,1/9/2016,Jacksonville,North Florida,3.50%,Expected
2725,1/9/2016,Jacksonville State,Murray State,2.20%,Expected
2726,1/9/2016,Kansas,Texas Tech,2.90%,Expected
2727,1/9/2016,Kansas State,Oklahoma,11.50%,Expected
2728,1/9/2016,Kentucky,Alabama,11.10%,Expected
2729,1/9/2016,Lafayette,Boston University,1.30%,Expected
2730,1/9/2016,Lamar,Central Arkansas,0.00%,Expected
2731,1/9/2016,Lehigh,American,7.50%,Expected
2732,1/9/2016,Lipscomb,Kennesaw State,0.50%,Expected
2733,1/9/2016,Louisiana-Lafayette,Arkansas State,8.50%,Expected
2734,1/9/2016,Louisiana-Monroe,Arkansas-Little Rock,54.10%,Upset
2735,1/9/2016,Louisiana State,Florida,2.80%,Expected
2736,1/9/2016,Maine,Maryland-Baltimore County,1.40%,Expected
2737,1/9/2016,Manhattan,Niagara,1.30%,Expected
2738,1/9/2016,Marist,Iona,22.40%,Expected
2739,1/9/2016,Maryland,Wisconsin,0.70%,Expected
2740,1/9/2016,Massachusetts-Lowell,Stony Brook,9.80%,Expected
2741,1/9/2016,Memphis,Connecticut,5.20%,Expected
2742,1/9/2016,Mercer,Citadel,1.90%,Expected
2743,1/9/2016,Milwaukee,Cleveland State,0.30%,Expected
2744,1/9/2016,Mississippi State,Arkansas,1.30%,Expected
2745,1/9/2016,Mississippi Valley State,Alabama State,21.80%,Expected
2746,1/9/2016,Missouri State,Loyola (IL),14.60%,Expected
2747,1/9/2016,Navy,Colgate,2.00%,Expected
2748,1/9/2016,Nebraska,Rutgers,52.00%,Upset
2749,1/9/2016,Nebraska-Omaha,South Dakota,1.90%,Expected
2750,1/9/2016,Nevada,Air Force,39.80%,Expected
2751,1/9/2016,Nevada-Las Vegas,Wyoming,1.20%,Expected
2752,1/9/2016,New Mexico State,Grand Canyon,6.90%,Expected
2753,1/9/2016,New Orleans,Sam Houston State,7.60%,Expected
2754,1/9/2016,North Carolina,Syracuse,1.90%,Expected
2755,1/9/2016,North Carolina-Greensboro,East Tennessee State,15.90%,Expected
2756,1/9/2016,North Carolina-Wilmington,Delaware,2.30%,Expected
2757,1/9/2016,North Carolina A&T,Savannah State,2.20%,Expected
2758,1/9/2016,North Carolina Central,South Carolina State,0.70%,Expected
2759,1/9/2016,North Dakota,Idaho State,7.50%,Expected
2760,1/9/2016,North Dakota State,Oral Roberts,1.00%,Expected
2761,1/9/2016,Northeastern,William & Mary,0.80%,Expected
2762,1/9/2016,Northern Arizona,Southern Utah,26.50%,Expected
2763,1/9/2016,Northern Colorado,Weber State,25.00%,Expected
2764,1/9/2016,Northwestern,Minnesota,7.70%,Expected
2765,1/9/2016,Northwestern State,Incarnate Word,8.30%,Expected
2766,1/9/2016,Oklahoma State,West Virginia,9.00%,Expected
2767,1/9/2016,Old Dominion,Southern Mississippi,0.20%,Expected
2768,1/9/2016,Pacific,Loyola Marymount,22.20%,Expected
2769,1/9/2016,Pittsburgh,Notre Dame,2.40%,Expected
2770,1/9/2016,Portland,Gonzaga,10.80%,Expected
2771,1/9/2016,Portland State,Montana State,9.50%,Expected
2772,1/9/2016,Prairie View,Texas Southern,1.30%,Expected
2773,1/9/2016,Presbyterian,High Point,8.90%,Expected
2774,1/9/2016,Princeton,Pennsylvania,0.80%,Expected
2775,1/9/2016,Quinnipiac,Monmouth,11.80%,Expected
2776,1/9/2016,Radford,Gardner-Webb,0.50%,Expected
2777,1/9/2016,Rice,North Texas,3.30%,Expected
2778,1/9/2016,Robert Morris,St. Francis (NY),4.60%,Expected
2779,1/9/2016,Sacramento State,Montana,0.60%,Expected
2780,1/9/2016,Saint Francis (PA),Long Island University,14.30%,Expected
2781,1/9/2016,Saint Mary's (CA),Pepperdine,0.20%,Expected
2782,1/9/2016,Saint Peter's,Canisius,34.50%,Expected
2783,1/9/2016,Samford,Wofford,0.30%,Expected
2784,1/9/2016,San Francisco,Brigham Young,11.70%,Expected
2785,1/9/2016,Santa Clara,San Diego,17.40%,Expected
2786,1/9/2016,Seattle,Chicago State,25.10%,Expected
2787,1/9/2016,South Alabama,Georgia State,6.70%,Expected
2788,1/9/2016,South Carolina Upstate,NJIT,15.60%,Expected
2789,1/9/2016,Southeast Missouri State,Eastern Kentucky,8.60%,Expected
2790,1/9/2016,Southeastern Louisiana,Houston Baptist,8.10%,Expected
2791,1/9/2016,Southern Illinois-Edwardsville,Tennessee State,61.50%,Upset
2792,1/9/2016,St. Bonaventure,Massachusetts,4.50%,Expected
2793,1/9/2016,St. John's (NY),Marquette,20.80%,Expected
2794,1/9/2016,Stetson,Florida Gulf Coast,0.60%,Expected
2795,1/9/2016,Tennessee-Martin,Morehead State,1.70%,Expected
2796,1/9/2016,Tennessee Tech,Austin Peay,5.10%,Expected
2797,1/9/2016,Texas,Texas Christian,2.60%,Expected
2798,1/9/2016,Texas-El Paso,Alabama-Birmingham,12.50%,Expected
2799,1/9/2016,Texas-Rio Grande Valley,Utah Valley,0.30%,Expected
2800,1/9/2016,Texas-San Antonio,Middle Tennessee,43.20%,Upset
2801,1/9/2016,Texas A&M,Tennessee,1.30%,Expected
2802,1/9/2016,Texas A&M-Corpus Christi,McNeese State,0.50%,Expected
2803,1/9/2016,Texas State,Appalachian State,0.00%,Expected
2804,1/9/2016,Toledo,Miami (OH),1.90%,Expected
2805,1/9/2016,Towson,James Madison,0.90%,Expected
2806,1/9/2016,Troy,Georgia Southern,2.00%,Expected
2807,1/9/2016,Utah State,New Mexico,0.90%,Expected
2808,1/9/2016,Vanderbilt,South Carolina,14.00%,Expected
2809,1/9/2016,Virginia,Georgia Tech,0.60%,Expected
2810,1/9/2016,Virginia Military Institute,Western Carolina,0.40%,Expected
2811,1/9/2016,Virginia Tech,Duke,2.30%,Expected
2812,1/9/2016,Wagner,Sacred Heart,2.60%,Expected
2813,1/9/2016,Washington,Washington State,6.60%,Expected
2814,1/9/2016,Wichita State,Southern Illinois,79.90%,Upset
2815,1/9/2016,Wright State,Northern Kentucky,10.60%,Expected
2816,1/10/2016,Central Florida,Southern Methodist,14.60%,Expected
2817,1/10/2016,Cincinnati,South Florida,0.10%,Expected
2818,1/10/2016,Illinois-Chicago,Oakland,6.80%,Expected
2819,1/10/2016,Louisville,Clemson,0.20%,Expected
2820,1/10/2016,Michigan State,Penn State,5.00%,Expected
2821,1/10/2016,North Carolina State,Wake Forest,1.30%,Expected
2822,1/10/2016,Ohio State,Indiana,0.60%,Expected
2823,1/10/2016,Purdue,Illinois,0.00%,Expected
2824,1/10/2016,Rhode Island,Saint Joseph's,3.00%,Expected
2825,1/10/2016,Richmond,Fordham,44.20%,Upset
2826,1/10/2016,Stanford,Oregon,2.20%,Expected
2827,1/10/2016,Tulsa,Tulane,10.50%,Expected
2828,1/10/2016,Valparaiso,Detroit Mercy,5.30%,Expected
2829,1/10/2016,Villanova,Butler,3.80%,Expected
2830,1/10/2016,Virginia Commonwealth,Saint Louis,2.40%,Expected
2831,1/11/2016,Arkansas-Pine Bluff,Alabama State,46.20%,Upset
2832,1/11/2016,Bethune-Cookman,Norfolk State,11.00%,Expected
2833,1/11/2016,Bucknell,Lehigh,2.30%,Expected
2834,1/11/2016,Cal State Bakersfield,Chicago State,0.90%,Expected
2835,1/11/2016,Chattanooga,Wofford,1.00%,Expected
2836,1/11/2016,Ferrum,Winthrop,19.60%,Expected
2837,1/11/2016,Florida A&M,Hampton,11.00%,Expected
2838,1/11/2016,Grambling,Alcorn State,0.10%,Expected
2839,1/11/2016,Howard,Delaware State,0.50%,Expected
2840,1/11/2016,Incarnate Word,New Orleans,5.30%,Expected
2841,1/11/2016,Jackson State,Southern,0.90%,Expected
2842,1/11/2016,Mississippi Valley State,Alabama A&M,58.20%,Upset
2843,1/11/2016,Monmouth,Fairfield,3.50%,Expected
2844,1/11/2016,Morgan State,Maryland-Eastern Shore,4.90%,Expected
2845,1/11/2016,North Carolina-Greensboro,Western Carolina,5.10%,Expected
2846,1/11/2016,North Carolina A&T,South Carolina State,8.50%,Expected
2847,1/11/2016,North Carolina Central,Savannah State,32.50%,Expected
2848,1/11/2016,Samford,Furman,0.30%,Expected
2849,1/11/2016,Southeastern Louisiana,Sam Houston State,41.00%,Upset
2850,1/11/2016,Texas A&M-Corpus Christi,Lamar,8.70%,Expected
2851,1/11/2016,Virginia Military Institute,East Tennessee State,0.20%,Expected
2852,1/12/2016,Air Force,Utah State,0.60%,Expected
2853,1/12/2016,Akron,Central Michigan,0.10%,Expected
2854,1/12/2016,Arkansas,Missouri,56.40%,Upset
2855,1/12/2016,Auburn,Vanderbilt,3.10%,Expected
2856,1/12/2016,Ball State,Western Michigan,4.40%,Expected
2857,1/12/2016,Bowling Green State,Ohio,35.30%,Expected
2858,1/12/2016,Buffalo,Eastern Michigan,2.70%,Expected
2859,1/12/2016,Canisius,Dartmouth,0.90%,Expected
2860,1/12/2016,Central Arkansas,Stephen F. Austin,12.70%,Expected
2861,1/12/2016,Davidson,Dayton,5.10%,Expected
2862,1/12/2016,DePaul,Xavier,16.30%,Expected
2863,1/12/2016,Drake,Evansville,10.10%,Expected
2864,1/12/2016,Florida,Texas A&M,9.40%,Expected
2865,1/12/2016,George Washington,Massachusetts,2.30%,Expected
2866,1/12/2016,Illinois State,Southern Illinois,23.10%,Expected
2867,1/12/2016,Iowa State,Texas,0.90%,Expected
2868,1/12/2016,Kansas,West Virginia,1.30%,Expected
2869,1/12/2016,Maryland,Michigan,1.60%,Expected
2870,1/12/2016,Miami (FL),Virginia,0.80%,Expected
2871,1/12/2016,Miami (OH),Kent State,10.20%,Expected
2872,1/12/2016,Minnesota,Nebraska,1.80%,Expected
2873,1/12/2016,Mississippi State,Kentucky,13.90%,Expected
2874,1/12/2016,New Hampshire,Albany (NY),14.70%,Expected
2875,1/12/2016,New Mexico,Nevada-Las Vegas,1.10%,Expected
2876,1/12/2016,Northern Illinois,Toledo,3.10%,Expected
2877,1/12/2016,Northwestern State,Abilene Christian,3.90%,Expected
2878,1/12/2016,Providence,Creighton,5.70%,Expected
2879,1/12/2016,Ryerson,Harvard,4.50%,Expected
2880,1/12/2016,Texas Tech,Kansas State,0.80%,Expected
2881,1/12/2016,Tulane,South Florida,4.40%,Expected
2882,1/12/2016,Wisconsin,Northwestern,11.40%,Expected
2883,1/13/2016,Army,Colgate,0.10%,Expected
2884,1/13/2016,Boise State,Nevada,7.10%,Expected
2885,1/13/2016,Boston College,Syracuse,1.50%,Expected
2886,1/13/2016,Boston University,American,0.90%,Expected
2887,1/13/2016,Bradley,Loyola (IL),48.50%,Upset
2888,1/13/2016,Duke,Clemson,0.30%,Expected
2889,1/13/2016,Florida State,North Carolina State,9.90%,Expected
2890,1/13/2016,Fordham,Virginia Commonwealth,0.10%,Expected
2891,1/13/2016,Georgetown,St. John's (NY),7.10%,Expected
2892,1/13/2016,Georgia Tech,Notre Dame,2.60%,Expected
2893,1/13/2016,Hartford,Binghamton,6.10%,Expected
2894,1/13/2016,Holy Cross,Lafayette,0.30%,Expected
2895,1/13/2016,Houston,Cincinnati,0.90%,Expected
2896,1/13/2016,Jacksonville State,Southeast Missouri State,8.70%,Expected
2897,1/13/2016,La Salle,Richmond,2.70%,Expected
2898,1/13/2016,Loyola (MD),Navy,27.30%,Expected
2899,1/13/2016,Maine,Massachusetts-Lowell,35.20%,Expected
2900,1/13/2016,Marquette,Villanova,6.30%,Expected
2901,1/13/2016,Maryland-Baltimore County,Stony Brook,45.90%,Upset
2902,1/13/2016,Mississippi,Louisiana State,1.00%,Expected
2903,1/13/2016,Nicholls State,Houston Baptist,25.30%,Expected
2904,1/13/2016,Northern Iowa,Indiana State,0.60%,Expected
2905,1/13/2016,Oklahoma,Oklahoma State,0.40%,Expected
2906,1/13/2016,Oregon State,Colorado,1.40%,Expected
2907,1/13/2016,Penn State,Purdue,12.40%,Expected
2908,1/13/2016,Rhode Island,St. Bonaventure,5.50%,Expected
2909,1/13/2016,Rutgers,Ohio State,4.90%,Expected
2910,1/13/2016,Saint Joseph's,George Mason,2.90%,Expected
2911,1/13/2016,Saint Louis,Duquesne,10.30%,Expected
2912,1/13/2016,San Diego State,Colorado State,10.00%,Expected
2913,1/13/2016,South Carolina,Alabama,0.00%,Expected
2914,1/13/2016,South Dakota,North Dakota State,16.20%,Expected
2915,1/13/2016,Southern California,UCLA,6.20%,Expected
2916,1/13/2016,Southern Methodist,East Carolina,3.50%,Expected
2917,1/13/2016,Temple,Memphis,15.10%,Expected
2918,1/13/2016,Tennessee,Georgia,2.50%,Expected
2919,1/13/2016,Tennessee Tech,Tennessee-Martin,1.80%,Expected
2920,1/13/2016,Texas Christian,Baylor,1.00%,Expected
2921,1/13/2016,Wake Forest,Virginia Tech,6.00%,Expected
2922,1/13/2016,Wichita State,Missouri State,1.30%,Expected
2923,1/13/2016,Wyoming,San Jose State,0.90%,Expected
2924,1/14/2016,Alabama-Birmingham,Old Dominion,1.40%,Expected
2925,1/14/2016,Appalachian State,Arkansas-Little Rock,23.10%,Expected
2926,1/14/2016,Austin Peay,Tennessee State,3.90%,Expected
2927,1/14/2016,Brigham Young,Gonzaga,7.60%,Expected
2928,1/14/2016,Chicago State,Texas-Rio Grande Valley,0.80%,Expected
2929,1/14/2016,Cleveland State,Wright State,3.90%,Expected
2930,1/14/2016,Connecticut,Tulsa,0.50%,Expected
2931,1/14/2016,Denver,Western Illinois,21.30%,Expected
2932,1/14/2016,Drexel,Hofstra,32.90%,Expected
2933,1/14/2016,East Tennessee State,Samford,6.30%,Expected
2934,1/14/2016,Eastern Kentucky,Eastern Illinois,0.20%,Expected
2935,1/14/2016,Fairleigh Dickinson,Saint Francis (PA),17.50%,Expected
2936,1/14/2016,Furman,Mercer,6.90%,Expected
2937,1/14/2016,Green Bay,Illinois-Chicago,0.10%,Expected
2938,1/14/2016,High Point,Winthrop,0.10%,Expected
2939,1/14/2016,Idaho State,Sacramento State,6.40%,Expected
2940,1/14/2016,Iowa,Michigan State,58.30%,Upset
2941,1/14/2016,IPFW,South Dakota State,1.30%,Expected
2942,1/14/2016,James Madison,Northeastern,14.10%,Expected
2943,1/14/2016,Kennesaw State,Jacksonville,3.90%,Expected
2944,1/14/2016,Liberty,Charleston Southern,11.70%,Expected
2945,1/14/2016,Lipscomb,North Florida,25.50%,Expected
2946,1/14/2016,Long Island University,Wagner,28.70%,Expected
2947,1/14/2016,Longwood,Campbell,54.60%,Upset
2948,1/14/2016,Louisiana-Lafayette,Georgia Southern,7.10%,Expected
2949,1/14/2016,Louisiana-Monroe,Georgia State,5.10%,Expected
2950,1/14/2016,Louisiana Tech,Florida International,0.20%,Expected
2951,1/14/2016,Loyola Marymount,San Francisco,10.20%,Expected
2952,1/14/2016,Marist,Rider,11.00%,Expected
2953,1/14/2016,Marshall,North Texas,29.90%,Expected
2954,1/14/2016,Middle Tennessee,Charlotte,0.40%,Expected
2955,1/14/2016,Milwaukee,Valparaiso,4.60%,Expected
2956,1/14/2016,Missouri-Kansas City,New Mexico State,24.00%,Expected
2957,1/14/2016,Montana,Northern Colorado,0.60%,Expected
2958,1/14/2016,Montana State,North Dakota,1.00%,Expected
2959,1/14/2016,Morehead State,Southern Illinois-Edwardsville,0.40%,Expected
2960,1/14/2016,Mount St. Mary's,Robert Morris,36.40%,Expected
2961,1/14/2016,Murray State,Belmont,9.10%,Expected
2962,1/14/2016,NJIT,Florida Gulf Coast,8.90%,Expected
2963,1/14/2016,North Carolina-Wilmington,Elon,4.60%,Expected
2964,1/14/2016,Northern Arizona,Idaho,22.50%,Expected
2965,1/14/2016,Oral Roberts,IUPUI,11.90%,Expected
2966,1/14/2016,Oregon,Utah,37.40%,Expected
2967,1/14/2016,Pacific,Saint Mary's (CA),51.70%,Upset
2968,1/14/2016,Pepperdine,Santa Clara,0.70%,Expected
2969,1/14/2016,Pittsburgh,Louisville,0.70%,Expected
2970,1/14/2016,Presbyterian,Coastal Carolina,0.50%,Expected
2971,1/14/2016,Sacred Heart,Central Connecticut State,2.60%,Expected
2972,1/14/2016,San Diego,Portland,57.70%,Upset
2973,1/14/2016,South Carolina Upstate,Stetson,2.50%,Expected
2974,1/14/2016,Southern Mississippi,Florida Atlantic,1.50%,Expected
2975,1/14/2016,Southern Utah,Eastern Washington,1.80%,Expected
2976,1/14/2016,St. Francis (NY),Bryant,1.60%,Expected
2977,1/14/2016,Texas-Arlington,Troy,4.10%,Expected
2978,1/14/2016,Texas State,South Alabama,4.70%,Expected
2979,1/14/2016,Towson,Delaware,0.50%,Expected
2980,1/14/2016,Washington,Arizona,0.40%,Expected
2981,1/14/2016,Washington State,Arizona State,1.60%,Expected
2982,1/14/2016,Weber State,Portland State,3.80%,Expected
2983,1/14/2016,Western Carolina,Chattanooga,5.00%,Expected
2984,1/14/2016,Western Kentucky,Rice,0.20%,Expected
2985,1/14/2016,William & Mary,College of Charleston,4.30%,Expected
2986,1/14/2016,Wofford,Citadel,5.80%,Expected
2987,1/14/2016,Youngstown State,Northern Kentucky,0.20%,Expected
2988,1/15/2016,Akron,Toledo,0.30%,Expected
2989,1/15/2016,Albany (NY),Maine,0.10%,Expected
2990,1/15/2016,Canisius,Manhattan,5.80%,Expected
2991,1/15/2016,Evansville,Illinois State,1.60%,Expected
2992,1/15/2016,George Washington,Dayton,1.60%,Expected
2993,1/15/2016,Monmouth,Iona,4.80%,Expected
2994,1/15/2016,Niagara,Fairfield,12.50%,Expected
2995,1/15/2016,Siena,Quinnipiac,3.20%,Expected
2996,1/16/2016,Abilene Christian,Stephen F. Austin,0.50%,Expected
2997,1/16/2016,Air Force,Nevada-Las Vegas,0.30%,Expected
2998,1/16/2016,Alabama,Vanderbilt,5.80%,Expected
2999,1/16/2016,Alabama-Birmingham,Charlotte,0.10%,Expected
3000,1/16/2016,Alabama A&M,Alabama State,5.30%,Expected
3001,1/16/2016,Alcorn State,Mississippi Valley State,7.60%,Expected
3002,1/16/2016,Appalachian State,Arkansas State,85.30%,Upset
3003,1/16/2016,Arkansas,Louisiana State,2.70%,Expected
3004,1/16/2016,Austin Peay,Belmont,2.50%,Expected
3005,1/16/2016,Baylor,Texas Tech,2.10%,Expected
3006,1/16/2016,Boston College,Pittsburgh,16.50%,Expected
3007,1/16/2016,Bowling Green State,Eastern Michigan,10.40%,Expected
3008,1/16/2016,Brigham Young,Portland,0.30%,Expected
3009,1/16/2016,Brown,Yale,18.30%,Expected
3010,1/16/2016,Cal State Bakersfield,Seattle,14.00%,Expected
3011,1/16/2016,Central Connecticut State,Wagner,17.30%,Expected
3012,1/16/2016,Central Michigan,Buffalo,0.80%,Expected
3013,1/16/2016,Charleston Southern,Campbell,11.00%,Expected
3014,1/16/2016,Chicago State,New Mexico State,12.50%,Expected
3015,1/16/2016,Cincinnati,Temple,0.40%,Expected
3016,1/16/2016,Cleveland State,Northern Kentucky,16.80%,Expected
3017,1/16/2016,Coastal Carolina,High Point,16.30%,Expected
3018,1/16/2016,Colgate,Bucknell,33.80%,Expected
3019,1/16/2016,Coppin State,Bethune-Cookman,35.50%,Expected
3020,1/16/2016,Cornell,Columbia,16.90%,Expected
3021,1/16/2016,Delaware State,South Carolina State,17.60%,Expected
3022,1/16/2016,Denver,IUPUI,0.30%,Expected
3023,1/16/2016,Drexel,Towson,5.80%,Expected
3024,1/16/2016,East Carolina,Central Florida,0.70%,Expected
3025,1/16/2016,East Tennessee State,Chattanooga,4.60%,Expected
3026,1/16/2016,Eastern Kentucky,Southern Illinois-Edwardsville,0.40%,Expected
3027,1/16/2016,Elon,College of Charleston,12.00%,Expected
3028,1/16/2016,Fairleigh Dickinson,Robert Morris,0.30%,Expected
3029,1/16/2016,Florida,Mississippi,13.80%,Expected
3030,1/16/2016,Fordham,Saint Joseph's,0.40%,Expected
3031,1/16/2016,Furman,Citadel,0.40%,Expected
3032,1/16/2016,Gardner-Webb,UNC-Asheville,4.00%,Expected
3033,1/16/2016,Green Bay,Valparaiso,4.20%,Expected
3034,1/16/2016,Hampton,North Carolina A&T,8.70%,Expected
3035,1/16/2016,Harvard,Howard,5.40%,Expected
3036,1/16/2016,Hawaii,Cal State Fullerton,1.40%,Expected
3037,1/16/2016,Houston Baptist,New Orleans,3.20%,Expected
3038,1/16/2016,Idaho State,Portland State,20.20%,Expected
3039,1/16/2016,Incarnate Word,Southeastern Louisiana,0.50%,Expected
3040,1/16/2016,Indiana,Minnesota,0.10%,Expected
3041,1/16/2016,Iowa State,Kansas State,13.50%,Expected
3042,1/16/2016,IPFW,Nebraska-Omaha,14.60%,Expected
3043,1/16/2016,James Madison,Hofstra,8.80%,Expected
3044,1/16/2016,Kennesaw State,North Florida,17.60%,Expected
3045,1/16/2016,Kentucky,Auburn,0.20%,Expected
3046,1/16/2016,La Salle,Rhode Island,13.10%,Expected
3047,1/16/2016,Lafayette,Navy,2.80%,Expected
3048,1/16/2016,Lehigh,Holy Cross,56.30%,Upset
3049,1/16/2016,Liberty,Winthrop,8.30%,Expected
3050,1/16/2016,Lipscomb,Jacksonville,17.90%,Expected
3051,1/16/2016,Long Beach State,Cal Poly,2.80%,Expected
3052,1/16/2016,Long Island University,Bryant,17.20%,Expected
3053,1/16/2016,Louisiana-Lafayette,Georgia State,94.20%,Upset
3054,1/16/2016,Louisiana-Monroe,Georgia Southern,0.30%,Expected
3055,1/16/2016,Louisiana Tech,Florida Atlantic,0.10%,Expected
3056,1/16/2016,Loyola (IL),Northern Iowa,52.30%,Upset
3057,1/16/2016,Loyola Marymount,Santa Clara,10.20%,Expected
3058,1/16/2016,Marshall,Rice,1.40%,Expected
3059,1/16/2016,Maryland-Eastern Shore,Savannah State,2.00%,Expected
3060,1/16/2016,Massachusetts,Davidson,4.20%,Expected
3061,1/16/2016,Massachusetts-Lowell,Maryland-Baltimore County,15.50%,Expected
3062,1/16/2016,Miami (FL),Clemson,0.20%,Expected
3063,1/16/2016,Miami (OH),Ball State,34.00%,Expected
3064,1/16/2016,Middle Tennessee,Old Dominion,4.90%,Expected
3065,1/16/2016,Milwaukee,Illinois-Chicago,2.40%,Expected
3066,1/16/2016,Missouri,South Carolina,32.30%,Expected
3067,1/16/2016,Missouri-Kansas City,Texas-Rio Grande Valley,0.60%,Expected
3068,1/16/2016,Missouri State,Bradley,10.00%,Expected
3069,1/16/2016,Montana,North Dakota,2.60%,Expected
3070,1/16/2016,Montana State,Northern Colorado,1.30%,Expected
3071,1/16/2016,Morehead State,Eastern Illinois,0.40%,Expected
3072,1/16/2016,Morgan State,Florida A&M,3.70%,Expected
3073,1/16/2016,Mount St. Mary's,Saint Francis (PA),12.70%,Expected
3074,1/16/2016,Murray State,Tennessee State,23.30%,Expected
3075,1/16/2016,Nebraska,Illinois,8.30%,Expected
3076,1/16/2016,Nicholls State,Texas A&M-Corpus Christi,55.10%,Upset
3077,1/16/2016,NJIT,Stetson,10.00%,Expected
3078,1/16/2016,Norfolk State,North Carolina Central,29.90%,Expected
3079,1/16/2016,North Carolina State,North Carolina,13.10%,Expected
3080,1/16/2016,Northeastern,Delaware,1.50%,Expected
3081,1/16/2016,Northern Arizona,Eastern Washington,3.00%,Expected
3082,1/16/2016,Northern Illinois,Western Michigan,0.00%,Expected
3083,1/16/2016,Northwestern State,Lamar,34.80%,Expected
3084,1/16/2016,Notre Dame,Duke,23.60%,Expected
3085,1/16/2016,Oakland,Detroit Mercy,3.00%,Expected
3086,1/16/2016,Ohio,Kent State,2.90%,Expected
3087,1/16/2016,Ohio State,Maryland,0.20%,Expected
3088,1/16/2016,Oklahoma State,Texas,3.20%,Expected
3089,1/16/2016,Oral Roberts,Western Illinois,18.00%,Expected
3090,1/16/2016,Penn State,Northwestern,66.30%,Upset
3091,1/16/2016,Pepperdine,San Francisco,8.70%,Expected
3092,1/16/2016,Pine Manor,Dartmouth,0.00%,Expected
3093,1/16/2016,Prairie View,Grambling,23.20%,Expected
3094,1/16/2016,Radford,Presbyterian,1.50%,Expected
3095,1/16/2016,Sacred Heart,St. Francis (NY),1.80%,Expected
3096,1/16/2016,Sam Houston State,McNeese State,0.10%,Expected
3097,1/16/2016,San Diego,Gonzaga,1.90%,Expected
3098,1/16/2016,San Diego State,Boise State,16.70%,Expected
3099,1/16/2016,San Jose State,Fresno State,9.30%,Expected
3100,1/16/2016,Seton Hall,Providence,19.70%,Expected
3101,1/16/2016,South Carolina Upstate,Florida Gulf Coast,0.80%,Expected
3102,1/16/2016,South Dakota State,North Dakota State,0.40%,Expected
3103,1/16/2016,South Florida,Memphis,28.90%,Expected
3104,1/16/2016,Southeast Missouri State,Tennessee Tech,2.90%,Expected
3105,1/16/2016,Southern,Arkansas-Pine Bluff,1.30%,Expected
3106,1/16/2016,Southern Mississippi,Florida International,58.00%,Upset
3107,1/16/2016,Southern Utah,Idaho,57.10%,Upset
3108,1/16/2016,St. Bonaventure,Duquesne,0.60%,Expected
3109,1/16/2016,St. John's (NY),Butler,14.00%,Expected
3110,1/16/2016,Stony Brook,New Hampshire,15.90%,Expected
3111,1/16/2016,Syracuse,Wake Forest,51.80%,Upset
3112,1/16/2016,Tennessee,Mississippi State,7.50%,Expected
3113,1/16/2016,Tennessee-Martin,Jacksonville State,0.00%,Expected
3114,1/16/2016,Texas-Arlington,South Alabama,0.10%,Expected
3115,1/16/2016,Texas-El Paso,Texas-San Antonio,0.20%,Expected
3116,1/16/2016,Texas A&M,Georgia,46.40%,Upset
3117,1/16/2016,Texas Christian,Kansas,41.10%,Upset
3118,1/16/2016,Texas Southern,Jackson State,37.20%,Expected
3119,1/16/2016,Texas State,Troy,0.20%,Expected
3120,1/16/2016,Utah State,Colorado State,9.70%,Expected
3121,1/16/2016,Utah Valley,Grand Canyon,19.20%,Expected
3122,1/16/2016,Vermont,Hartford,3.10%,Expected
3123,1/16/2016,Villanova,Georgetown,1.20%,Expected
3124,1/16/2016,Virginia Commonwealth,Richmond,3.50%,Expected
3125,1/16/2016,Virginia Tech,Georgia Tech,9.30%,Expected
3126,1/16/2016,Washington,Arizona State,9.00%,Expected
3127,1/16/2016,Washington State,Arizona,2.90%,Expected
3128,1/16/2016,Weber State,Sacramento State,2.60%,Expected
3129,1/16/2016,West Virginia,Oklahoma,2.90%,Expected
3130,1/16/2016,Western Carolina,Samford,1.60%,Expected
3131,1/16/2016,Western Kentucky,North Texas,3.50%,Expected
3132,1/16/2016,William & Mary,North Carolina-Wilmington,4.20%,Expected
3133,1/16/2016,Wofford,Mercer,35.30%,Expected
3134,1/16/2016,Wyoming,New Mexico,15.80%,Expected
3135,1/16/2016,Xavier,Marquette,1.40%,Expected
3136,1/16/2016,Youngstown State,Wright State,0.20%,Expected
3137,1/17/2016,American,Army,32.60%,Expected
3138,1/17/2016,Canisius,Quinnipiac,8.80%,Expected
3139,1/17/2016,Connecticut,Houston,27.30%,Expected
3140,1/17/2016,Creighton,DePaul,1.40%,Expected
3141,1/17/2016,George Mason,Saint Louis,16.00%,Expected
3142,1/17/2016,Indiana State,Wichita State,1.80%,Expected
3143,1/17/2016,Iona,Rider,0.70%,Expected
3144,1/17/2016,Marist,Saint Peter's,14.10%,Expected
3145,1/17/2016,Michigan,Iowa,3.20%,Expected
3146,1/17/2016,Michigan State,Wisconsin,0.30%,Expected
3147,1/17/2016,Niagara,Manhattan,5.80%,Expected
3148,1/17/2016,Oregon,Colorado,3.40%,Expected
3149,1/17/2016,Oregon State,Utah,3.50%,Expected
3150,1/17/2016,Southern Illinois,Drake,0.50%,Expected
3151,1/17/2016,Southern Methodist,Tulane,0.40%,Expected
3152,1/17/2016,Virginia,Florida State,0.50%,Expected
3153,1/17/2016,Virginia Military Institute,North Carolina-Greensboro,0.70%,Expected
